species;latitude;longitude
larix;55.041836;158.872514
larix;57.5843;134.6597
larix;57.5707;136.0687
larix;58.4306;136.1937
larix;64.8374;152.6848
larix;64.2156;154.4821
larix;56.6866;124.1116
larix;67.169;156.2382
larix;65.2273;151.6885
larix;64.7619;153.7717
larix;58.528;129.2605
larix;58.7617;127.2472
larix;57.5771;134.6558
larix;59.5956;151.1744
larix;56.294;137.1827
larix;56.2335;134.6537
larix;57.6138;134.0245
larix;55.8812;135.9405
larix;55.626;130.028
larix;58.7743;134.2522
larix;55.693;130.888
larix;59.6639;150.4531
larix;68.065;122.9382
larix;56.9818;132.2461
larix;58.0155;134.2048
larix;56.741;132.9588
larix;57.6448;132.2159
larix;53.3006;132.8981
larix;52.9553;132.7645
larix;49.1307;144.244
larix;50.8748;137.448
larix;52.7205;134.6119
larix;52.9763;132.0499
larix;52.7902;131.7163
larix;63.6977;124.4366
larix;59.2061;125.321
larix;64.7989;169.4166
larix;64.2844;171.2577
larix;65.5399;168.845
larix;65.0528;167.6692
larix;67.7068;164.7132
larix;68.1104;164.1736
larix;67.7283;165.5681
larix;63.917;170.2392
larix;65.4437;166.4347
larix;66.7912;167.3458
larix;65.8001;169.8063
larix;68.7777;165.3658
larix;44.288;134.8372
larix;62.6895;147.9623
larix;44.2939;135.5506
larix;64.6915;165.799
larix;63.829;165.7018
larix;63.9592;164.4638
larix;69.3408;139.9505
larix;69.7325;135.1373
larix;67.6601;134.5965
larix;63.8949;153.6367
larix;62.5754;155.3503
larix;62.1164;154.6752
larix;62.4345;156.4316
larix;61.8918;156.1324
larix;67.6853;159.6974
larix;68.9249;164.3013
larix;67.9909;167.4807
larix;67.4864;167.8717
larix;66.228;168.2711
larix;69.2495;163.8701
larix;43.2614;133.7075
larix;59.3429;148.6157
larix;48.6828;138.249
larix;47.3118;137.596
larix;62.1061;128.3705
larix;69.75;147.5333
larix;62.1791;159.0891
larix;49.4455;138.3161
larix;69.5666;149.3333
larix;47.2382;138.4297
larix;50.3318;139.2359
larix;61.7994;160.4225
larix;56.0017;134.0335
larix;64.1223;159.2446
larix;65.0432;161.6473
larix;56.4577;159.6838
larix;53.3818;134.6249
larix;55.6178;136.5513
larix;65.4752;160.151
larix;71.976;127.0524
larix;56.1296;137.5511
larix;55.8871;133.0714
larix;56.4608;138.1723
larix;55.5114;132.6928
larix;53.8426;130.3688
